model,test,loss,accuracy,f1,matthews_correlation,precision,recall,runtime,samples_per_second,steps_per_second,epoch
dnabert100_20,EMP_H3K9ac,0.510150134563446,0.7635840230298668,0.7629296795115253,0.5300443796975977,0.7635652169409182,0.7664872168166155,2.9076,955.775,15.133,3.0
dnabert100_20,EMP_H3K4me1,0.5475800037384033,0.7386363636363636,0.7333996809460388,0.4699370451932824,0.7380488892191099,0.731928016099376,3.2619,971.203,15.328,3.0
dnabert100_20,mouse_1,0.19491761922836304,0.9205337286879169,0.9205151935994957,0.8414516864005603,0.9209202912899039,0.9205314849377814,1.6686,4042.381,16.182,2.3696682464454977
dnabert100_20,mouse_4,0.5372368693351746,0.7397769516728625,0.7397762911486654,0.4795592588691293,0.7397812524678196,0.7397780064122956,0.499,3773.494,16.032,8.474576271186441
dnabert100_20,prom_prom_300_tata,0.4430660605430603,0.8450244698205547,0.8446523985712342,0.6900682151911617,0.8457531022678648,0.8443166080749973,0.5776,1061.323,17.314,10.0
dnabert100_20,Cancer2,0.4924335181713104,0.7904328018223234,0.790344684385382,0.5815105896299914,0.7910272405905594,0.790483603154836,0.1871,2345.835,149.62,3.0
dnabert100_20,prom_prom_300_all,0.18175479769706726,0.935304054054054,0.9352988682010356,0.8706067581980895,0.9353204967153171,0.9352862621558691,5.3691,1102.601,17.321,4.0
dnabert100_20,tf_3,0.49032965302467346,0.762,0.7604669887278582,0.5308387884998856,0.7688834154351396,0.762,0.2548,3924.12,15.696,3.0
dnabert100_20,tf_0,0.3604832887649536,0.851,0.8498636177225419,0.7128744343886145,0.8619586604023413,0.851,0.2554,3916.067,15.664,3.0
dnabert100_20,Cancer,0.5782889723777771,0.6810933940774487,0.6743875561583454,0.37715115405523897,0.6967181641595519,0.6807700290577003,0.1827,2402.23,153.217,3.0
dnabert100_20,mouse_3,0.7114041447639465,0.8368200836820083,0.8360854655763651,0.6788379363015301,0.8423076923076923,0.8365546218487395,0.0707,3380.94,14.146,66.66666666666667
dnabert100_20,tf_1,0.32259583473205566,0.865,0.8640635336835459,0.7402706987958885,0.8753429503395569,0.865,0.2575,3882.982,15.532,3.0
dnabert100_20,mouse_0,0.4441910982131958,0.8160493827160494,0.8154798761609907,0.6360371135999402,0.8200000000000001,0.8160493827160493,0.2547,3180.091,15.704,19.607843137254903
dnabert100_20,EMP_H3K36me3,0.49597054719924927,0.7861238532110092,0.7833024365950628,0.5666054000351517,0.7833402631186166,0.7832651418963659,3.5706,976.873,15.404,3.0
dnabert100_20,EMP_H3K4me2,0.6155685186386108,0.6810035842293907,0.6401565103977973,0.32478735338459297,0.685300172854745,0.6423188431147047,3.1969,959.998,15.015,3.0
dnabert100_20,EMP_H4ac,0.5746836066246033,0.6997067448680352,0.6964352282021464,0.39506162462071565,0.6991693383187784,0.6959057661252018,3.4831,979.015,15.503,3.0
dnabert100_20,EMP_H3,0.3097383677959442,0.8817635270541082,0.8816790501422473,0.7639326728476595,0.8823350562480997,0.8815979721890006,1.5541,963.266,15.443,3.0
dnabert100_20,EMP_H4,0.29761072993278503,0.893223819301848,0.892070918492982,0.7843602053689714,0.8912836389616575,0.8930786202810932,1.5547,939.751,14.794,3.0
dnabert100_20,prom_prom_core_tata,0.37814047932624817,0.8433931484502447,0.8433727243692111,0.6873922344033528,0.8438498913182457,0.8435424118548799,0.5892,1040.436,16.973,10.0
dnabert100_20,EMP_H3K79me3,0.4540489912033081,0.8120665742024965,0.8111945346320346,0.6225432663479898,0.8116846169477749,0.81085919660591,3.0674,940.203,14.996,3.0
dnabert100_20,EMP_H3K14ac,0.5246694087982178,0.7540090771558245,0.7478630718184847,0.49584614678720845,0.7486203651421043,0.7472277373005962,3.4259,964.702,15.178,3.0
dnabert100_20,prom_prom_core_all,0.42491796612739563,0.8271959459459459,0.8268437232407925,0.6566764643352248,0.8296012119819394,0.8270800918925632,5.5298,1070.561,16.818,4.0
dnabert100_20,prom_prom_core_notata,0.3638284206390381,0.8466176747691728,0.8465481033324003,0.6940218050761264,0.8473567031259339,0.8466654462016363,4.8974,1083.641,16.948,4.0
dnabert100_20,tf_4,0.3307376801967621,0.874,0.8737090255949708,0.7514707926284508,0.8774788450358504,0.874,0.3697,2705.189,10.821,3.0
dnabert100_20,prom_prom_300_notata,0.09457650780677795,0.9724891652534389,0.9724791973076128,0.9450921950720151,0.972695310245905,0.9723969319271333,4.8548,1093.134,17.096,4.0
dnabert100_20,tf_2,0.42611831426620483,0.823,0.8225740001744188,0.6491246167140047,0.8261321733932689,0.823,0.3916,2553.635,10.215,3.0
dnabert100_20,mouse_2,0.46871623396873474,0.9024390243902439,0.9024353969139245,0.8049379065910626,0.9024988844265953,0.9024390243902439,0.1284,2555.308,15.581,47.61904761904762
dnabert100_20,EMP_H3K4me3,0.6140232086181641,0.6752717391304348,0.6752688376897271,0.3557878407962765,0.6779603701945894,0.6778274954138148,3.7278,987.188,15.559,3.0
dnabert40_10,EMP_H3K9ac,0.5037783980369568,0.7650233897085282,0.7640985809024687,0.5309289160977074,0.7640605876580006,0.7668757920755784,2.9829,931.659,14.751,3.0
dnabert40_10,EMP_H3K4me1,0.5329815745353699,0.7547348484848485,0.7501966481274664,0.5028837503634257,0.7542293860981686,0.7486849280691849,3.1462,1006.922,15.892,3.0
dnabert40_10,mouse_1,0.18463550508022308,0.9264640474425501,0.926434577630792,0.8536012990073718,0.9271404689077681,0.9264611004491392,1.6378,4118.437,16.486,2.3696682464454977
dnabert40_10,mouse_4,0.5549392700195312,0.7551779075942645,0.7551444838873915,0.510514380933568,0.7553300764406558,0.7551843252987854,0.4909,3835.761,16.296,8.474576271186441
dnabert40_10,prom_prom_300_tata,0.4253986179828644,0.8368678629690048,0.8367423031852562,0.6734846063705124,0.8367423031852562,0.8367423031852562,0.5638,1087.238,17.736,10.0
dnabert40_10,Cancer2,0.5254154205322266,0.7676537585421412,0.7673821793699611,0.5363299323582591,0.7687513028976444,0.7675799086757991,0.2617,1677.564,106.997,3.0
